event_id;date_x;publisher;ticker;studio;is_rockstar;game;franchise;event_type;sentiment;impact_expectation_manual;source_url;notes;adj_close;return;market_return;trading_date;AR_event;CAR_m1_p1;CAR_0_1;CAR_0_3;CAR_0_5;impact_label;impact_label_num;impact_high;event_date;date_y;trend_gta;trend_gta6;trend_gtavi;trend_rockstar;trend_gta_mean;trend_gta_z;trend_gta6_z;trend_gtavi_z;trend_rockstar_z;trend_gta_mean_z
TTWO_2011_GTA5_ANNOUNCEMENT;2011-10-25;Take-Two;TTWO;Rockstar Games;1;GTA V;GTA;Major Announcement;positive;Medium;https://www.rockstargames.com/newswire/article/19161;Rockstar announces Grand Theft Auto V with first teaser information.;15.220000267028809;0.0576789370329091;-0.0200447250836162;2011-10-25;0.0759620056455902;0.0774570201749988;0.0688035958381492;0.0957919913066803;0.0957919913066803;High;2;1;2011-10-25;2011-10-25;47.5;50.25;26.0;42.25;41.25;-1.2928479220325002;0.535172105002361;-0.7114216540811917;-0.2769520952016311;-0.6859429166198788
GTAV_2011_TRAILER1;2011-11-02;Take-Two;TTWO;Rockstar;1;GTA V;GTA;Trailer/Reveal;positive;medium;https://www.rockstargames.com;GTA V Trailer #1;15.640000343322754;0.0228908032925403;0.0161046677655145;2011-11-02;0.0072167998973758;0.0003016949649346;0.0056520091220944;0.011005146213563;-0.0162095190187048;Low;0;0;2011-11-02;2011-11-02;49.25;45.5;19.0;39.25;37.91666666666666;-1.1115648473405904;0.04732472047998301;-1.6817274057793212;-0.7082362739889033;-1.2390352288351194
GTAV_2012_SCREENSHOTS;2012-07-12;Take-Two;TTWO;Rockstar;1;GTA V;GTA;Trailer/Reveal;neutral;low;https://www.rockstargames.com;First screenshot batch;9.100000381469728;-0.0065501601464909;-0.0049870972826125;2012-07-12;-0.0024115324554037;-0.0376773834567437;-0.0415313413289651;-0.0415313413289651;-0.0338952175966287;High;2;1;2012-07-12;2012-07-12;60.25;36.0;34.25;39.0;43.5;0.027928765008557916;-0.9283700485647729;0.43215298184874673;-0.744176622221176;-0.3126056058745925
GTAV_2012_TRAILER2;2012-11-14;Take-Two;TTWO;Rockstar;1;GTA V;GTA;Trailer/Reveal;positive;medium;https://www.rockstargames.com;GTA V Trailer #2;11.470000267028809;-0.0034752355393231;-0.0138520357188847;2012-11-14;0.0089907063637053;0.0253542075071828;0.0169162973482094;0.0377978925617738;0.0607884655658478;Medium;1;0;2012-11-14;2012-11-14;52.0;47.25;31.5;38.25;43.583333333333336;-0.8266914442533033;0.22705796740928016;0.05096143653876725;-0.8519976669179941;-0.29877829806921113
GTAV_2013_DELAY;2013-01-31;Take-Two;TTWO;Rockstar;1;GTA V;GTA;Delay;negative;medium;https://www.rockstargames.com;Delay to September 2013;12.170000076293944;-0.0681470378810965;-0.0025633010773032;2013-01-31;-0.0662852125313246;-0.02303395350702;-0.0261510564490791;-0.0261510564490791;-0.0353252691601183;Medium;1;0;2013-01-31;2013-01-31;49.25;44.5;19.25;38.5;37.66666666666666;-1.1115648473405904;-0.05537999205104392;-1.6470736289329595;-0.8160573186857213;-1.2805171522512624
TTWO_2013_GTA5_RELEASE;2013-09-17;Take-Two;TTWO;Rockstar Games;1;GTA V;GTA;Release;positive;high;https://www.rockstargames.com/newswire/article/5128;"GTA V official global release; record-breaking sales in 24 hours.";17.0;-0.0201729322060152;0.0042177393276741;2013-09-17;-0.0246809033914419;-0.0483489887668878;-0.0249013182044571;-0.0293547620967787;-0.0293547620967787;High;2;1;2013-09-17;2013-09-17;60.75;51.5;19.5;40.75;43.91666666666666;0.07972392920624648;0.6635529956661447;-1.6124198520865978;-0.4925941845952672;-0.24346906684768918
TTWO_2013_GTAONLINE_LAUNCH;2013-10-01;Take-Two;TTWO;Rockstar Games;1;GTA Online;GTA;Release;Positive;Medium;https://www.rockstargames.com/newswire/article/5151;Launch of GTA Online as an online component to GTA V.;18.3799991607666;0.0115574619477651;0.007998543475556;2013-10-01;0.0034979777609166;0.0016619276209741;-0.0062149718678436;-0.0256817027090962;-0.0256817027090962;Low;0;0;2013-10-01;2013-10-01;66.25;40.75;28.75;39.0;45.25;0.6494707353808206;-0.44052266404239493;-0.3302301087712122;-0.744176622221176;-0.02223214196159198
TTWO_2014_GTAONLINE_HEISTS;2014-12-09;Take-Two;TTWO;Rockstar Games;1;GTA Online;GTA;Major Announcement;Positive;Medium;https://www.rockstargames.com/newswire/article/52249;"GTA Online Heists trailer; major content update anticipation.";27.11000061035156;0.0207078748293816;-0.0002378235413311;2014-12-09;0.0203852538602014;-0.0241354564157745;0.0145419437600991;0.08353242585793;0.08353242585793;Medium;1;0;2014-12-09;2014-12-09;61.75;32.25;28.75;37.25;40.91666666666666;0.1833142576016236;-1.313512720556124;-0.3302301087712122;-0.9957590598470848;-0.7412521478414044
TTWO_2015_GTA5_PC_RELEASE;2015-04-14;Take-Two;TTWO;Rockstar Games;1;GTA V;GTA;Release;Positive;Medium;https://www.rockstargames.com/newswire/article/52389;PC release of GTA V with enhanced graphics and features.;24.93000030517578;0.0076798923126679;0.0016297588743277;2015-04-14;0.0056029505770564;-0.0129838926228247;0.0042321983025388;0.0021114593286732;0.0021114593286732;Medium;1;0;2015-04-14;2015-04-14;67.5;37.0;27.5;58.25;44.0;0.778958645875042;-0.8256653360337459;-0.5034989930030211;2.0232301916638207;-0.22964175904230663
TTWO_2016_RDR2_ANNOUNCEMENT;2016-10-18;Take-Two;TTWO;Rockstar Games;1;Red Dead Redemption 2;Red Dead;Trailer/Reveal;Positive;High;https://www.rockstargames.com/newswire/article/50802;Teaser announcement and first trailer for Red Dead Redemption 2.;45.09000015258789;0.0053512081746287;0.0061604033182458;2016-10-18;-0.0009816119450583;0.0300236677341689;-0.0228813899253495;-0.0051929790337533;-0.0051929790337533;High;2;1;2016-10-18;2016-10-18;58.5;41.25;34.5;49.25;44.75;-0.15335430968335204;-0.38917030777688144;0.4668067586951085;0.729377655302004;-0.10519598879387784
